,NeighbourhoodCode,Year,Month,ResponseTimeScore,SlowResponseTimePenalty,DayC,NightC,Rain Days,Rainfall(mm),Daylight hours,NuisanceReportsCriminal,NuisanceReportsNonCriminal,NetLaborParticipation,FlexibleContracts,SelfContract,PopulationEduLow,PopulationEduMedium,PopulationEduHigh,y0-15%,y15-25%,y65-%,Peoplewithmigrationbackgroud%,Averagepeopleperhousehold,Populationdensitykm2,AverageWOZ-valueofhouses(x1000euro),Percentuninhabited(%),Rentalproperies(%),Tradeandcatering%,Culture/recreationproperies%,Carsperhousehold,UrbanityLevel,Inhabitants,Benches,Lights,POI,PropertyCrimesTotal,PropertyCrimesRelPop,PropertyCrimesRelCity,ViolentCrimesTotal,ViolentCrimesRelPop,ViolentCrimesRelCity,BurglariesTotal,BurglariesRelPop,BurglariesRelCity
0,Bavel,2012,1,0.0,1.0,5,2,7,24.7,8.5,0,1,71,23,17,14,30,28,0.164,0.175,0.236,0.112,2.4,3109,442,2,27,0.141,0.089,1.3,0.25,5445,66,1253,22,30.0,9.0973,3.881,4.0,1.213,7.8431,5.0,1.5162,6.6667
1,Bavel,2012,2,0.0,1.0,6,1,6,19.2,10.0,0,0,71,23,17,14,30,28,0.164,0.175,0.236,0.112,2.4,3109,442,2,27,0.141,0.089,1.3,0.25,5445,66,1253,22,27.0,5.1551,2.1992,0.0,0.0,0.0,2.0,0.6065,2.6667
2,Bavel,2012,3,0.0,1.0,11,3,6,18.8,12.0,0,5,71,23,17,14,30,28,0.164,0.175,0.236,0.112,2.4,3109,442,2,27,0.141,0.089,1.3,0.25,5445,66,1253,22,35.0,4.8519,2.0699,5.0,0.0,0.0,2.0,0.6065,2.6667
3,Bavel,2012,4,0.0,1.0,14,6,4,14.4,14.0,0,4,71,23,17,14,30,28,0.164,0.175,0.236,0.112,2.4,3109,442,2,27,0.141,0.089,1.3,0.25,5445,66,1253,22,25.0,3.3357,1.423,2.0,0.0,0.0,1.0,0.3032,1.3333
4,Bavel,2012,5,0.0,1.0,17,9,7,22.8,15.5,1,0,71,23,17,14,30,28,0.164,0.175,0.236,0.112,2.4,3109,442,2,27,0.141,0.089,1.3,0.25,5445,66,1253,22,16.0,10.3103,4.3984,1.0,0.6065,3.9216,5.0,1.5162,6.6667
5,Bavel,2012,6,0.0,1.0,21,12,7,31.0,16.5,0,0,71,23,17,14,30,28,0.164,0.175,0.236,0.112,2.4,3109,442,2,27,0.141,0.089,1.3,0.25,5445,66,1253,22,25.0,13.0395,5.5627,2.0,1.213,7.8431,2.0,0.6065,2.6667
6,Bavel,2012,7,0.0,1.0,23,14,7,28.9,16.0,1,0,71,23,17,14,30,28,0.164,0.175,0.236,0.112,2.4,3109,442,2,27,0.141,0.089,1.3,0.25,5445,66,1253,22,16.0,1.8195,0.7762,1.0,0.0,0.0,1.0,0.3032,1.3333
7,Bavel,2012,8,0.0,1.0,23,14,7,29.2,14.5,0,1,71,23,17,14,30,28,0.164,0.175,0.236,0.112,2.4,3109,442,2,27,0.141,0.089,1.3,0.25,5445,66,1253,22,24.0,0.3032,0.1294,1.0,0.3032,1.9608,0.0,0.0,0.0
8,Bavel,2012,9,0.0,1.0,19,12,6,21.0,12.5,0,0,71,23,17,14,30,28,0.164,0.175,0.236,0.112,2.4,3109,442,2,27,0.141,0.089,1.3,0.25,5445,66,1253,22,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,Bavel,2012,10,0.0,1.0,15,9,7,25.8,11.0,0,4,71,23,17,14,30,28,0.164,0.175,0.236,0.112,2.4,3109,442,2,27,0.141,0.089,1.3,0.25,5445,66,1253,22,58.0,0.3032,0.1294,1.0,0.0,0.0,0.0,0.0,0.0
