NeighbourhoodCode,Year,Month,PropertyCrimesTotal,PropertyCrimesRelPop,PropertyCrimesRelCity,ViolentCrimesTotal,ViolentCrimesRelPop,ViolentCrimesRelCity,BurglariesTotal,BurglariesRelPop,BurglariesRelCity
Bavel,2012,1,30.0,9.0973,3.881,4.0,1.213,7.8431,5.0,1.5162,6.6667
Bavel,2012,2,27.0,5.1551,2.1992,0.0,0.0,0.0,2.0,0.6065,2.6667
Bavel,2012,3,35.0,4.8519,2.0699,5.0,0.0,0.0,2.0,0.6065,2.6667
Bavel,2012,4,25.0,3.3357,1.423,2.0,0.0,0.0,1.0,0.3032,1.3333
Bavel,2012,5,16.0,10.3103,4.3984,1.0,0.6065,3.9216,5.0,1.5162,6.6667
Bavel,2012,6,25.0,13.0395,5.5627,2.0,1.213,7.8431,2.0,0.6065,2.6667
Bavel,2012,7,16.0,1.8195,0.7762,1.0,0.0,0.0,1.0,0.3032,1.3333
Bavel,2012,8,24.0,0.3032,0.1294,1.0,0.3032,1.9608,0.0,0.0,0.0
Bavel,2012,9,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bavel,2012,10,58.0,0.3032,0.1294,1.0,0.0,0.0,0.0,0.0,0.0
Bavel,2012,11,27.0,34.5698,14.7477,1.0,2.1227,13.7255,5.0,1.5162,6.6667
Bavel,2012,12,19.0,6.3681,2.7167,2.0,0.0,0.0,3.0,0.9097,4.0
Bavel,2013,1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bavel,2013,2,39.0,3.3357,1.423,3.0,0.3032,1.9608,5.0,1.5162,6.6667
Bavel,2013,3,14.0,3.9422,1.6818,3.0,0.3032,1.9608,0.0,0.0,0.0
Bavel,2013,4,8.0,3.9422,1.6818,0.0,0.0,0.0,5.0,1.5162,6.6667
Bavel,2013,5,17.0,2.4259,1.0349,2.0,0.3032,1.9608,0.0,0.0,0.0
Bavel,2013,6,30.0,0.0,0.0,0.0,0.3032,1.9608,0.0,0.0,0.0
Bavel,2013,7,8.0,6.3681,2.7167,0.0,0.0,0.0,3.0,0.9097,4.0
Bavel,2013,8,25.0,2.7292,1.1643,4.0,0.0,0.0,0.0,0.0,0.0
Bavel,2013,9,25.0,0.3032,0.1294,1.0,0.0,0.0,0.0,0.0,0.0
Bavel,2013,10,39.0,2.4259,1.0349,0.0,0.0,0.0,0.0,0.0,0.0
Bavel,2013,11,35.0,2.7292,1.1643,1.0,0.6065,3.9216,0.0,0.0,0.0
Bavel,2013,12,28.0,5.4584,2.3286,1.0,0.0,0.0,0.0,0.0,0.0
Bavel,2014,1,31.0,4.2454,1.8111,1.0,0.0,0.0,2.0,0.6065,2.6667
Bavel,2014,2,11.0,9.7038,4.1397,1.0,1.213,7.8431,5.0,1.5162,6.6667
Bavel,2014,3,20.0,0.3032,0.1294,1.0,0.0,0.0,0.0,0.0,0.0
Bavel,2014,4,29.0,1.8195,0.7762,2.0,0.0,0.0,3.0,0.9097,4.0
Bavel,2014,5,12.0,2.1227,0.9056,0.0,0.0,0.0,0.0,0.0,0.0
Bavel,2014,6,15.0,0.6065,0.2587,3.0,0.0,0.0,0.0,0.0,0.0
Bavel,2014,7,28.0,7.5811,3.2342,3.0,0.3032,1.9608,3.0,0.9097,4.0
Bavel,2014,8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bavel,2014,9,17.0,0.6065,0.2587,1.0,0.0,0.0,0.0,0.0,0.0
Bavel,2014,10,19.0,1.213,0.5175,1.0,0.0,0.0,1.0,0.3032,1.3333
Bavel,2014,11,25.0,2.7292,1.1643,0.0,0.3032,1.9608,0.0,0.0,0.0
Bavel,2014,12,10.0,0.9097,0.3881,0.0,0.6065,3.9216,0.0,0.0,0.0
Bavel,2015,1,21.0,3.0324,1.2937,2.0,0.0,0.0,0.0,0.0,0.0
Bavel,2015,2,29.0,0.9097,0.3881,4.0,0.0,0.0,0.0,0.0,0.0
Bavel,2015,3,17.0,9.7038,4.1397,1.0,0.6065,3.9216,3.0,0.9097,4.0
Bavel,2015,4,12.0,4.8519,2.0699,1.0,0.3032,1.9608,1.0,0.3032,1.3333
Bavel,2015,5,13.0,2.1227,0.9056,1.0,0.0,0.0,0.0,0.0,0.0
Bavel,2015,6,17.0,8.7941,3.7516,1.0,0.3032,1.9608,2.0,0.6065,2.6667
Bavel,2015,7,21.0,3.0324,1.2937,0.0,0.0,0.0,1.0,0.3032,1.3333
Bavel,2015,8,19.0,8.1876,3.4929,0.0,0.0,0.0,1.0,0.3032,1.3333
